Classe;Nom;MS % brut;PB % brut;CB % brut;MGR % brut;MM % brut;NDF % brut;ADF % brut;Lignine % brut;Amidon % brut;Sucres % brut;EB (kcal) kcal/kg brut;ED porc croissance (kcal) kcal/kg brut;EM porc croissance (kcal) kcal/kg brut;EN porc croissance (kcal) kcal/kg brut;EMAn coq (kcal) kcal/kg brut;EMAn poulet (kcal) kcal/kg brut;UFL 2018 par kg brut;PDI 2018 g/kg brut;BalProRu 2018 g/kg brut
Céréales;Blé;90.3000030517578;8.39999961853027;2;1.20000004768372;1.29999995231628;11.3999996185303;2.79999995231628;0.899999976158142;64.1999969482422;2.59999990463257;3880;3460;3360;2640;3040;2920;1.08000004291534;74;-36
Céréales;Blé;89.5;8.39999961853027;2.09999990463257;1.29999995231628;1.5;11.6999998092651;2.90000009536743;1;62;2.59999990463257;3850;3410;3310;2590;2960;2840;1.07000005245209;74;-35
Céréales;Blé;89;8.39999961853027;2.09999990463257;1.29999995231628;1.5;11.6999998092651;2.90000009536743;1;61.7999992370605;2.59999990463257;3830;3380;3290;2580;2950;2830;1.05999994277954;73;-34
Céréales;Blé;88.5;8.39999961853027;2.09999990463257;1.29999995231628;1.5;11.6999998092651;2.90000009536743;1;61.7999992370605;2.59999990463257;3810;3360;3270;2560;2950;2830;1.05999994277954;73;-34
Céréales;Blé;88;8.39999961853027;2.20000004768372;1.39999997615814;1.60000002384186;12.1000003814697;3.09999990463257;1;61.5999984741211;2.59999990463257;3790;3330;3240;2540;2950;2830;1.04999995231628;73;-33
Céréales;Blé;87.8000030517578;8.39999961853027;2;1.29999995231628;1.5;11.3000001907349;2.79999995231628;0.899999976158142;61.7000007629395;2.59999990463257;3780;3350;3260;2560;2940;2830;1.04999995231628;73;-33
Céréales;Blé;87.5;8.39999961853027;2.09999990463257;1.39999997615814;1.5;11.6999998092651;2.90000009536743;0.899999976158142;61.2999992370605;2.59999990463257;3770;3330;3240;2540;2940;2820;1.04999995231628;72;-33
Céréales;Blé;87.3000030517578;8.39999961853027;2;1.29999995231628;1.5;11.3000001907349;2.79999995231628;0.899999976158142;62.2999992370605;2.59999990463257;3760;3330;3240;2550;2970;2850;1.04999995231628;72;-32
Céréales;Blé;87;8.39999961853027;2.09999990463257;1.5;1.60000002384186;11.6000003814697;2.90000009536743;0.899999976158142;61.2000007629395;2.59999990463257;3750;3310;3220;2530;2940;2830;1.03999996185303;72;-32
Céréales;Blé;86.8000030517578;8.39999961853027;1.89999997615814;1.29999995231628;1.5;10.8000001907349;2.70000004768372;0.899999976158142;61.5;2.59999990463257;3730;3330;3230;2540;2940;2820;1.03999996185303;72;-32
Céréales;Blé;86.5;8.39999961853027;2.09999990463257;1.10000002384186;1.60000002384186;11.6000003814697;2.90000009536743;0.899999976158142;61.0999984741211;2.59999990463257;3710;3270;3180;2500;2900;2790;1.02999997138977;72;-31
Céréales;Blé;86;8.39999961853027;2.29999995231628;1.20000004768372;1.60000002384186;12.3999996185303;3.20000004768372;1;60.9000015258789;2.59999990463257;3700;3220;3130;2470;2900;2790;1.01999998092651;71;-30
Céréales;Blé;85.8000030517578;8.39999961853027;2;1.29999995231628;1.5;11.1999998092651;2.79999995231628;0.899999976158142;61.5;2.59999990463257;3690;3270;3180;2510;2940;2820;1.02999997138977;71;-31
Céréales;Blé;85.5;8.39999961853027;2.20000004768372;1.20000004768372;1.5;12;3;1;60.5999984741211;2.59999990463257;3680;3220;3130;2470;2890;2780;1.01999998092651;71;-30
Céréales;Blé;85;8.39999961853027;2.29999995231628;1.39999997615814;1.5;12.3999996185303;3.20000004768372;1;60.5;2.59999990463257;3670;3190;3110;2450;2900;2790;1.00999999046326;71;-29
Céréales;Blé;84.5;8.39999961853027;2.20000004768372;1.20000004768372;1.5;11.8999996185303;3;1;60.4000015258789;2.59999990463257;3640;3180;3090;2440;2880;2770;1;70;-29
Céréales;Blé;84;8.39999961853027;2;1.29999995231628;1.5;11.1000003814697;2.79999995231628;0.899999976158142;60.4000015258789;2.59999990463257;3620;3200;3110;2450;2890;2780;1.00999999046326;70;-29
Céréales;Blé;91;8.60000038146973;2;1.20000004768372;1.29999995231628;11.3999996185303;2.79999995231628;0.899999976158142;64.5;2.59999990463257;3920;3490;3390;2660;3050;2930;1.0900000333786;75;-35
Céréales;Blé;90;8.60000038146973;1.89999997615814;1.20000004768372;1.39999997615814;11;2.70000004768372;0.899999976158142;64;2.59999990463257;3870;3460;3360;2640;3030;2920;1.08000004291534;75;-34
Céréales;Blé;89.5;8.60000038146973;2;1.20000004768372;1.29999995231628;11.3000001907349;2.79999995231628;0.899999976158142;63.5;2.59999990463257;3860;3430;3330;2610;3010;2900;1.08000004291534;74;-34
Céréales;Blé;89.3000030517578;8.60000038146973;2;1.20000004768372;1.29999995231628;11.3000001907349;2.79999995231628;0.899999976158142;63.0999984741211;2.59999990463257;3850;3420;3320;2610;3000;2880;1.07000005245209;74;-33
Céréales;Blé;89;8.60000038146973;1.89999997615814;1.20000004768372;1.39999997615814;10.8999996185303;2.70000004768372;0.899999976158142;63.5;2.59999990463257;3830;3420;3320;2610;3010;2900;1.07000005245209;74;-33
Céréales;Blé;88.5;8.60000038146973;2.40000009536743;1.29999995231628;1.70000004768372;12.8999996185303;3.29999995231628;1.10000002384186;61.5999984741211;2.59999990463257;3810;3310;3220;2530;2950;2830;1.04999995231628;73;-32
Céréales;Blé;88.3000030517578;8.60000038146973;1.89999997615814;1.29999995231628;1.5;10.8999996185303;2.70000004768372;0.899999976158142;62.7000007629395;2.59999990463257;3800;3390;3300;2590;2990;2870;1.05999994277954;73;-32
Céréales;Blé;88;8.60000038146973;2.40000009536743;1.20000004768372;1.39999997615814;12.8999996185303;3.29999995231628;1.10000002384186;61.2999992370605;2.59999990463257;3790;3300;3200;2510;2930;2810;1.03999996185303;73;-31
Céréales;Blé;87.8000030517578;8.60000038146973;2;1.29999995231628;1.5;11.3000001907349;2.79999995231628;0.899999976158142;62.0999984741211;2.59999990463257;3780;3350;3260;2560;2970;2850;1.04999995231628;73;-31
Céréales;Blé;87.5;8.60000038146973;2.40000009536743;1.29999995231628;1.70000004768372;12.8000001907349;3.29999995231628;1.10000002384186;61.0999984741211;2.59999990463257;3760;3270;3180;2500;2930;2810;1.03999996185303;72;-31
Céréales;Blé;87;8.60000038146973;2.20000004768372;1.10000002384186;1.5;12;3;1;60.7000007629395;2.59999990463257;3740;3280;3190;2500;2900;2780;1.02999997138977;72;-30
Céréales;Blé;86.8000030517578;8.60000038146973;2;1.29999995231628;1.5;11.1999998092651;2.79999995231628;0.899999976158142;61.4000015258789;2.59999990463257;3740;3310;3220;2530;2940;2820;1.03999996185303;72;-30
Céréales;Blé;86.5;8.60000038146973;2.20000004768372;1.29999995231628;1.5;12;3;1;60.0999984741211;2.59999990463257;3730;3270;3180;2490;2890;2770;1.02999997138977;72;-30
Céréales;Blé;86;8.60000038146973;2.09999990463257;1.20000004768372;1.60000002384186;11.6000003814697;2.90000009536743;0.899999976158142;60;2.59999990463257;3700;3260;3160;2480;2880;2760;1.01999998092651;72;-29
Céréales;Blé;85.8000030517578;8.60000038146973;2;1.29999995231628;1.5;11.1999998092651;2.79999995231628;0.899999976158142;60.5999984741211;2.59999990463257;3700;3270;3180;2500;2910;2790;1.02999997138977;72;-29
Céréales;Blé;85.5;8.60000038146973;2.09999990463257;1.20000004768372;1.60000002384186;11.6000003814697;2.90000009536743;0.899999976158142;59.5999984741211;2.59999990463257;3680;3240;3140;2460;2860;2750;1.01999998092651;71;-29
Céréales;Blé;85.3000030517578;8.60000038146973;1.89999997615814;1.29999995231628;1.5;10.8000001907349;2.70000004768372;0.899999976158142;60.2999992370605;2.59999990463257;3670;3270;3180;2490;2900;2780;1.01999998092651;71;-29
Céréales;Blé;85;8.60000038146973;2.20000004768372;1.10000002384186;1.5;12;3;1;59.5;2.59999990463257;3660;3200;3110;2440;2850;2740;1.00999999046326;71;-28
Céréales;Blé;84.8000030517578;8.60000038146973;2;1.29999995231628;1.5;11.1999998092651;2.79999995231628;0.899999976158142;60.0999984741211;2.59999990463257;3660;3230;3140;2470;2890;2780;1.01999998092651;71;-28
Céréales;Blé;84.5;8.60000038146973;2.5;1.20000004768372;1.39999997615814;13.1000003814697;3.40000009536743;1.10000002384186;59.2000007629395;2.59999990463257;3650;3140;3050;2400;2840;2730;1;71;-27
Céréales;Blé;84;8.60000038146973;2;1.10000002384186;1.29999995231628;11.1000003814697;2.79999995231628;0.899999976158142;58.5;2.59999990463257;3620;3200;3110;2430;2810;2700;1.00999999046326;71;-27
Céréales;Blé;83.5;8.60000038146973;2;1.10000002384186;1.29999995231628;11.1000003814697;2.79999995231628;0.899999976158142;58.2999992370605;2.59999990463257;3600;3180;3090;2420;2800;2690;1;70;-27
Céréales;Blé;90.5;8.80000019073486;2;1.20000004768372;1.29999995231628;11.3999996185303;2.79999995231628;0.899999976158142;63.9000015258789;2.59999990463257;3900;3470;3370;2640;3040;2920;1.0900000333786;75;-33
Céréales;Blé;90;8.80000019073486;2.29999995231628;1.29999995231628;1.60000002384186;12.5;3.20000004768372;1;64.0999984741211;2.59999990463257;3870;3390;3300;2600;3050;2930;1.07000005245209;75;-32
Céréales;Blé;89.8000030517578;8.80000019073486;2;1.20000004768372;1.29999995231628;11.3000001907349;2.79999995231628;0.899999976158142;63.7000007629395;2.59999990463257;3870;3440;3340;2620;3030;2910;1.08000004291534;75;-32
Céréales;Blé;89.5;8.80000019073486;2;1.20000004768372;1.29999995231628;11.3000001907349;2.79999995231628;0.899999976158142;63.5;2.59999990463257;3860;3430;3330;2620;3020;2900;1.08000004291534;75;-32
Céréales;Blé;89.3000030517578;8.80000019073486;2;1.29999995231628;1.5;11.3000001907349;2.79999995231628;0.899999976158142;63;2.59999990463257;3840;3420;3320;2610;3010;2890;1.07000005245209;74;-32
Céréales;Blé;89;8.80000019073486;1.89999997615814;1.20000004768372;1.39999997615814;10.8999996185303;2.70000004768372;0.899999976158142;63.5;2.59999990463257;3830;3420;3330;2610;3020;2900;1.07000005245209;74;-31
Céréales;Blé;88.8000030517578;8.80000019073486;2;1.29999995231628;1.5;11.3000001907349;2.79999995231628;0.899999976158142;62.7999992370605;2.59999990463257;3820;3400;3300;2590;3000;2890;1.07000005245209;74;-31
Céréales;Blé;88.5;8.80000019073486;2.40000009536743;1.39999997615814;1.60000002384186;12.8999996185303;3.29999995231628;1.10000002384186;62.0999984741211;2.59999990463257;3820;3320;3230;2540;2980;2870;1.04999995231628;74;-30
Céréales;Blé;88.3000030517578;8.80000019073486;2;1.29999995231628;1.5;11.3000001907349;2.79999995231628;0.899999976158142;62.5;2.59999990463257;3800;3380;3280;2580;2990;2870;1.05999994277954;74;-30
Céréales;Blé;88;8.80000019073486;2.29999995231628;1.20000004768372;1.60000002384186;12.5;3.20000004768372;1;61.5999984741211;2.59999990463257;3790;3310;3220;2520;2950;2830;1.03999996185303;73;-30
Céréales;Blé;87.8000030517578;8.80000019073486;2;1.29999995231628;1.5;11.3000001907349;2.79999995231628;0.899999976158142;61.9000015258789;2.59999990463257;3780;3360;3260;2560;2970;2850;1.04999995231628;73;-30
Céréales;Blé;87.5;8.80000019073486;2.40000009536743;1.39999997615814;1.60000002384186;12.8000001907349;3.29999995231628;1.10000002384186;61.7000007629395;2.59999990463257;3780;3280;3190;2510;2970;2850;1.03999996185303;73;-29
Céréales;Blé;87.3000030517578;8.80000019073486;2.09999990463257;1.20000004768372;1.60000002384186;11.6000003814697;2.90000009536743;0.899999976158142;61.5;2.59999990463257;3750;3310;3220;2530;2940;2830;1.03999996185303;73;-29
Céréales;Blé;87;8.80000019073486;2.09999990463257;1.20000004768372;1.60000002384186;11.6000003814697;2.90000009536743;0.899999976158142;61.2999992370605;2.59999990463257;3740;3300;3210;2520;2930;2820;1.03999996185303;73;-29
Céréales;Blé;86.8000030517578;8.80000019073486;2.20000004768372;1.20000004768372;1.5;12;3;1;61.0999984741211;2.59999990463257;3740;3280;3190;2500;2930;2810;1.02999997138977;73;-28
Céréales;Blé;86.5;8.80000019073486;2.40000009536743;1.20000004768372;1.39999997615814;12.8000001907349;3.29999995231628;1;60.9000015258789;2.59999990463257;3730;3240;3150;2480;2920;2800;1.02999997138977;72;-28
Céréales;Blé;86.3000030517578;8.80000019073486;2.20000004768372;1.10000002384186;1.5;12;3;1;60.2000007629395;2.59999990463257;3710;3250;3160;2480;2880;2770;1.02999997138977;72;-28
Céréales;Blé;86;8.80000019073486;2.29999995231628;1.20000004768372;1.60000002384186;12.3999996185303;3.20000004768372;1;60.5999984741211;2.59999990463257;3700;3230;3140;2470;2910;2790;1.01999998092651;72;-27
Céréales;Blé;85.8000030517578;8.80000019073486;2.40000009536743;1.20000004768372;1.39999997615814;12.8000001907349;3.29999995231628;1;60.4000015258789;2.59999990463257;3700;3210;3120;2450;2900;2790;1.01999998092651;72;-27
Céréales;Blé;85.5;8.80000019073486;2.40000009536743;1.20000004768372;1.39999997615814;12.8000001907349;3.29999995231628;1;59.7999992370605;2.59999990463257;3690;3200;3110;2440;2880;2760;1.00999999046326;72;-27
Céréales;Blé;85.3000030517578;8.80000019073486;2.20000004768372;1.20000004768372;1.5;12;3;1;60;2.59999990463257;3680;3220;3130;2460;2880;2770;1.01999998092651;72;-27
Céréales;Blé;85;8.80000019073486;2.20000004768372;1.20000004768372;1.5;12;3;1;59.7999992370605;2.59999990463257;3660;3210;3120;2450;2880;2760;1.00999999046326;72;-26
Céréales;Blé;84.8000030517578;8.80000019073486;2.20000004768372;1.20000004768372;1.5;11.8999996185303;3;1;58.9000015258789;2.59999990463257;3650;3200;3100;2430;2840;2730;1.00999999046326;71;-26
Céréales;Blé;84.5;8.80000019073486;2.20000004768372;1.20000004768372;1.5;11.8999996185303;3;1;59.5999984741211;2.59999990463257;3640;3190;3100;2430;2870;2760;1.00999999046326;71;-26
Céréales;Blé;84.3000030517578;8.80000019073486;2.09999990463257;1.20000004768372;1.60000002384186;11.5;2.90000009536743;0.899999976158142;58.7999992370605;2.59999990463257;3630;3190;3100;2430;2840;2720;1;71;-26
Céréales;Blé;84;8.80000019073486;2.09999990463257;1.20000004768372;1.60000002384186;11.5;2.90000009536743;0.899999976158142;57.9000015258789;2.59999990463257;3620;3180;3090;2410;2800;2690;1;71;-25
Céréales;Blé;83.5;8.80000019073486;2;1.20000004768372;1.29999995231628;11.1000003814697;2.79999995231628;0.899999976158142;57.5999984741211;2.59999990463257;3610;3190;3090;2420;2790;2680;1;71;-25
Céréales;Blé;90;9;2.40000009536743;1.20000004768372;1.39999997615814;12.8999996185303;3.29999995231628;1.10000002384186;63;2.59999990463257;3880;3380;3290;2580;3010;2890;1.07000005245209;75;-31
Céréales;Blé;89.8000030517578;9;2.29999995231628;1.20000004768372;1.60000002384186;12.5;3.20000004768372;1;62.7999992370605;2.59999990463257;3860;3380;3290;2580;3000;2880;1.07000005245209;75;-30
Céréales;Blé;89.3000030517578;9;2.20000004768372;1.29999995231628;1.5;12.1000003814697;3.09999990463257;1;62.5999984741211;2.59999990463257;3850;3390;3290;2580;3000;2880;1.07000005245209;75;-30
Céréales;Blé;89;9;2.20000004768372;1.29999995231628;1.5;12.1000003814697;3.09999990463257;1;62.5;2.59999990463257;3840;3380;3280;2570;3000;2880;1.05999994277954;75;-30
Céréales;Blé;88.8000030517578;9;2.20000004768372;1.29999995231628;1.5;12.1000003814697;3.09999990463257;1;62.2999992370605;2.59999990463257;3830;3370;3270;2570;2990;2870;1.05999994277954;74;-29
Céréales;Blé;88.5;9;2.20000004768372;1.29999995231628;1.5;12.1000003814697;3.09999990463257;1;62.2000007629395;2.59999990463257;3820;3360;3260;2560;2990;2870;1.05999994277954;74;-29
Céréales;Blé;88.3000030517578;9;2.20000004768372;1.29999995231628;1.5;12.1000003814697;3.09999990463257;1;62.0999984741211;2.59999990463257;3810;3350;3250;2550;2980;2870;1.04999995231628;74;-29
Céréales;Blé;88;9;2.20000004768372;1.10000002384186;1.5;12.1000003814697;3.09999990463257;1;61.9000015258789;2.59999990463257;3790;3330;3230;2530;2960;2840;1.04999995231628;74;-28
Céréales;Blé;87.8000030517578;9;2.09999990463257;1.20000004768372;1.60000002384186;11.6999998092651;2.90000009536743;0.899999976158142;61.7000007629395;2.59999990463257;3780;3330;3240;2540;2960;2840;1.04999995231628;74;-28
Céréales;Blé;87.5;9;2.09999990463257;1.20000004768372;1.60000002384186;11.6999998092651;2.90000009536743;0.899999976158142;61.4000015258789;2.59999990463257;3770;3320;3230;2530;2950;2830;1.03999996185303;74;-28
Céréales;Blé;87.3000030517578;9;2;1.29999995231628;1.5;11.3000001907349;2.79999995231628;0.899999976158142;61.4000015258789;2.59999990463257;3760;3340;3240;2540;2950;2840;1.04999995231628;74;-28
Céréales;Blé;87;9;2.09999990463257;1.20000004768372;1.60000002384186;11.6000003814697;2.90000009536743;0.899999976158142;61.2000007629395;2.59999990463257;3750;3300;3210;2520;2940;2820;1.03999996185303;73;-27
Céréales;Blé;86.8000030517578;9;2;1.29999995231628;1.5;11.1999998092651;2.79999995231628;0.899999976158142;61.2000007629395;2.59999990463257;3740;3320;3220;2530;2950;2830;1.03999996185303;73;-27
Céréales;Blé;86.5;9;2.20000004768372;1.20000004768372;1.5;12;3;1;61;2.59999990463257;3730;3270;3180;2500;2930;2820;1.02999997138977;73;-27
Céréales;Blé;86.3000030517578;9;2.20000004768372;1.20000004768372;1.5;12;3;1;60.7999992370605;2.59999990463257;3720;3260;3170;2490;2920;2810;1.02999997138977;73;-26
Céréales;Blé;86;9;2.20000004768372;1.20000004768372;1.5;12;3;1;60.7000007629395;2.59999990463257;3710;3250;3160;2480;2920;2800;1.02999997138977;73;-26
Céréales;Blé;85.8000030517578;9;2.20000004768372;1.20000004768372;1.5;12;3;1;60.5999984741211;2.59999990463257;3700;3240;3150;2470;2910;2800;1.01999998092651;72;-26
Céréales;Blé;85.5;9;2.29999995231628;1.20000004768372;1.60000002384186;12.3999996185303;3.20000004768372;1;60;2.59999990463257;3690;3210;3120;2450;2890;2780;1.00999999046326;72;-25
Céréales;Blé;85.3000030517578;9;2;1.29999995231628;1.5;11.1999998092651;2.79999995231628;0.899999976158142;60.7999992370605;2.59999990463257;3680;3260;3160;2490;2930;2820;1.01999998092651;72;-25
Céréales;Blé;85;9;2;1.10000002384186;1.29999995231628;11.1999998092651;2.79999995231628;0.899999976158142;60;2.59999990463257;3670;3250;3150;2470;2880;2770;1.01999998092651;72;-25
Céréales;Blé;84.8000030517578;9;2;1.29999995231628;1.5;11.1999998092651;2.79999995231628;0.899999976158142;60.0999984741211;2.59999990463257;3660;3240;3140;2470;2900;2790;1.01999998092651;72;-25
Céréales;Blé;84.5;9;2.09999990463257;1.10000002384186;1.60000002384186;11.5;2.90000009536743;0.899999976158142;59.7999992370605;2.59999990463257;3640;3200;3110;2440;2870;2760;1.00999999046326;72;-24
Céréales;Blé;84.3000030517578;9;2;1.29999995231628;1.5;11.1000003814697;2.79999995231628;0.899999976158142;59.9000015258789;2.59999990463257;3640;3220;3130;2460;2900;2780;1.00999999046326;72;-24
Céréales;Blé;84;9;2.09999990463257;1.10000002384186;1.60000002384186;11.5;2.90000009536743;0.899999976158142;59.5;2.59999990463257;3620;3180;3090;2420;2860;2750;1;71;-24
Céréales;Blé;83.8000030517578;9;1.89999997615814;1.29999995231628;1.5;10.6999998092651;2.70000004768372;0.899999976158142;59.0999984741211;2.59999990463257;3620;3210;3120;2450;2860;2750;1.00999999046326;71;-24
Céréales;Blé;83.5;9;2.20000004768372;1;1.5;11.8999996185303;3;1;59.2999992370605;2.59999990463257;3600;3140;3050;2400;2850;2740;0.990000009536743;71;-23
Céréales;Blé;83;9;2;1.10000002384186;1.29999995231628;11.1000003814697;2.79999995231628;0.899999976158142;58.5;2.59999990463257;3590;3160;3070;2410;2820;2710;1;71;-23
Céréales;Blé;90.5;9.19999980926514;2;1.20000004768372;1.29999995231628;11.3999996185303;2.79999995231628;0.899999976158142;63.9000015258789;2.59999990463257;3910;3480;3380;2640;3050;2930;1.0900000333786;76;-30
